CLIENT_NAME,SALES,PROVINCE,PHONE_NUMBER,,,,,
丹东银行,王雪翼,-,-,,,,,
成都农商,王雪翼,-,-,,,,,
爱建信托,王雪翼,上海市,86-21-33564008,,,,,
汇友财产,王雪翼,北京市,86-10-86400800,,,,,
北大方正,王雪翼,上海市,86-021-31079394,,,,,
四川新网,王雪翼,-,-,,,,,
苏宁银行,王雪翼,-,-,,,,,
北京中关村,王雪翼,-,-,,,,,
东吴人寿,王雪翼,江苏省,400-8825-6789,,,,,
华兴证券,王雪翼,上海市,86-21-60156666,,,,,
中航信托,王雪翼,江西省,86-791-86667992,,,,,
德邦资管,王雪翼,-,-,,,,,
上海途灵,宋雪晴,-,-,,,,,
七曜天鹰,宋雪晴,-,-,,,,,
北京星鹏,宋雪晴,-,-,,,,,
诚泰财产,宋雪晴,云南省,86-871-68286666,,,,,
万利富达,宋雪晴,-,-,,,,,
延安龙骧,宋雪晴,-,-,,,,,
众安在线,宋雪晴,上海市,86-21-60278666,,,,,
众安信息,宋雪晴,-,-,,,,,
中汇人寿,宋雪晴,辽宁省,86-024-31664592,,,,,
长生人寿,宋雪晴,上海市,86-21-38999888,,,,,
长城人寿,宋雪晴,北京市,86-10-59238571,,,,,
长安责任,宋雪晴,安徽省,86-10-51336688,,,,,
长安基金,宋雪晴,-,-,,,,,
永安期货,宋雪晴,-,-,,,,,
昆仑健康,宋雪晴,-,-,,,,,
京东安联,宋雪晴,广东省,86-20-83966788,,,,,
华海财产,宋雪晴,山东省,40006-11111,,,,,
华安财保,宋雪晴,深圳市,86-755-82665888,,,,,
横琴人寿,宋雪晴,广东省,86-756-3918073,,,,,
合众资产,宋雪晴,北京市,86-10-59949000,,,,,
合众优年,宋雪晴,-,-,,,,,
合众人寿,宋雪晴,湖北省,86-10-59949135,,,,,
合众康养,宋雪晴,-,-,,,,,
合众健康,宋雪晴,-,-,,,,,
合众南宁,宋雪晴,-,-,,,,,
国华人寿,宋雪晴,湖北省,86-95549,,,,,
国富人寿,宋雪晴,广西,86-771-5723168,,,,,
光大永明,宋雪晴,天津市,86-10-59128454,,,,,
光大保德信,宋雪晴,-,-,,,,,
财信吉祥,宋雪晴,湖南省,86-731-88318888,,,,,
北京人寿,宋雪晴,北京市,86-10-65269135,,,,,
安华农业,宋雪晴,吉林省,86-0431-81910981,,,,,
上海宽远,宋雪晴,-,-,,,,,
季华装备,宋雪晴,-,-,,,,,
爱心人寿,宋雪晴,北京市,86-10-68881231,,,,,
国金证券,宋雪晴,四川省,86-28-86690021,,,,,
幸福人寿,宋雪晴,北京市,95560,,,,,
申能财产,宋雪晴,-,-,,,,,
瑞众保险,宋雪晴,-,-,,,,,
复星联合,宋雪晴,-,-,,,,,
上海喜岳,宋雪晴,-,-,,,,,
上海磬霖,宋雪晴,-,-,,,,,
深圳嘉石,宋雪晴,-,-,,,,,
上海人寿,邵靓,上海市,4009118118,,,,,
国信证券,邵靓,广东省,86-755-82130188,,,,,
中华联合,邵靓,北京市,86-10-59561800,,,,,
中韩人寿,邵靓,浙江省,400-980-0800,,,,,
浙商财产,邵靓,浙江省,86-571-28299999,,,,,
泰康人寿,邵靓,北京市,86-10-61045620,,,,,x
生命保险,邵靓,-,-,,,,,
前海再保,邵靓,深圳市,86-755-88980900,,,,,
前海人寿,邵靓,广东省,86-755-22922133,,,,,
太平养老,邵靓,上海市,86-21-61002888,,,,,
华农财产,邵靓,广州市,86-10-88009191,,,,,
恒大人寿,邵靓,重庆市,86-23-63816666,,,,,
国任财产,邵靓,广东省,86-755-86170723,,,,,
广发资管,邵靓,-,-,,,,,
信达证券,邵靓,北京市,86-10-83252610,,,,,
广东华兴,邵靓,-,-,,,,,
交银人寿,邵靓,上海市,86-21-22192288,,,,,
海港人寿,邵靓,-,-,,,,,
兴银理财,孔强团队,-,-,,,,,
兴业银行,孔强团队,福建省,86-591-38507869,,,,,
光大资管,孔强团队,-,-,,,,,
浦银理财,孔强团队,-,-,,,,,
民生理财,孔强团队,-,-,,,,,
华宝证券,孔强团队,上海市,86-21-20321056,,,,,
长城证券,孔强团队,广东省,86-755-83516072,,,,,
东证融汇,孔强团队,-,-,,,,,
中融人寿,金诚予,北京市,86-10-57971777,,,,,
安诚数盈,金诚予,-,-,,,,,
兆天金牛,金诚予,-,-,,,,,
信泰人寿,金诚予,浙江省,86-571-87116666,,,,,
新华人寿,金诚予,北京市,86-10-85213233,,,,,
天津滨海农商,金诚予,-,-,,,,,
申万宏源,金诚予,上海市,86-21-33389888,,,,,
湖北正涵,金诚予,-,-,,,,,
弘康人寿,金诚予,北京市,400-850-0365,,,,,
国民养老,金诚予,北京市,-,,,,,
第一创业证券,金诚予,广东省,86-755-23838868,,,,,
北部湾财产,金诚予,广西,86-771-6666174,,,,,
上海易同,金诚予,-,-,,,,,
民生人寿,大账户,北京市,86-10-38529938,,,,,
民生通惠,大账户,上海市,86-21-20353888,,,,,
