CONFIRMED_DATE,FUND_NUM,CLIENT_NAME,ACCOUNT_NAME,TRADE_NUM,FUND_CODE,FUND_NAME,ACTION,SHARES_CHANGED,MONEY_CHANGED,REMAINING_SHARES
20240227,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603359,浦银惠享5号,赎回,"99,610,000.00","￥-99,988,518.00","99,610,000.00"
20240821,TH6010014039,浦银理财,浦银理财天添鑫中短债13号理财产品,5592,603077,浦银惠享3号,赎回,"97,690,000.00","￥-99,985,715.00","97,690,000.00"
20240516,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603077,浦银惠享3号,赎回,"98,400,000.00","￥-99,984,240.00","98,400,000.00"
20240524,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603077,浦银惠享3号,赎回,"98,340,000.00","￥-99,982,278.00","98,340,000.00"
20240930,TH6010001461,浦银理财,浦银理财天添鑫中短债理财产品,4772,603077,浦银惠享3号,赎回,"97,410,000.00","￥-99,981,624.00","97,410,000.00"
20240820,TH6010013826,浦银理财,浦银理财月月鑫最短持有期8号理财产品,5350,603359,浦银惠享5号,赎回,"98,300,000.00","￥-99,980,930.00","98,300,000.00"
20240820,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603359,浦银惠享5号,赎回,"98,300,000.00","￥-99,980,930.00","98,300,000.00"
20240223,TH6010001462,浦银理财,浦银理财天添鑫中短债2号理财产品,4773,603077,浦银惠享3号,赎回,"99,040,000.00","￥-99,980,880.00","99,040,000.00"
20240419,TH6010001461,浦银理财,浦银理财天添鑫中短债理财产品,4772,603077,浦银惠享3号,赎回,"98,600,000.00","￥-99,980,400.00","98,600,000.00"
20240531,TH6010001535,浦银理财,浦银理财日添金2号（公司专属）理财产品,4890,603077,浦银惠享3号,赎回,"98,277,420.03","￥-99,977,619.40","98,277,420.03"
20240130,TH0010000762,上海人寿,上海人寿保险股份有限公司传统产品建行托管专户,2651,999214,月月盈理财债券,赎回,"96,500,000.00","￥-99,974,000.00","96,500,000.00"
20240123,TH6010001600,兴银理财,兴银理财金雪球稳添利季盈(3个月最短持有期)1号日开固收类理财产品,4957,603185,兴银惠享1号,赎回,"99,300,000.00","￥-99,955,945.02","99,300,000.00"
20240925,TH6010013939,申万宏源,申万宏源通盈优选单一资产管理计划,5475,999261,汇通7号,赎回,"85,962,207.87","￥-99,595,814.04","85,962,207.87"
20240923,TH0000004251,国任财产,国任财产保险股份有限公司,462,12,泰山1号,赎回,"123,848,679.33","￥-99,574,338.18","123,848,679.33"
20240626,TH0000000617,民生人寿,民生人寿保险股份有限公司-万能-附加富贵赢家至尊,68,999266,和谐6号,赎回,"86,000,000.00","￥-99,519,200.00","86,000,000.00"
20240131,TH0000004510,北京人寿,北京人寿保险股份有限公司-农行传统,488,999214,月月盈理财债券,赎回,"96,000,000.00","￥-99,465,600.00","96,000,000.00"
20240730,TH6010013939,申万宏源,申万宏源通盈优选单一资产管理计划,5475,601847,民汇62号,赎回,"94,186,382.66","￥-99,234,772.77","94,186,382.66"
20240619,TH0000005577,民生人寿,民生人寿保险股份有限公司-传统权益,597,999203,通汇9号,赎回,"73,700,000.00","￥-99,184,245.36","73,700,000.00"
20240918,TH0000004251,国任财产,国任财产保险股份有限公司,462,12,泰山1号,赎回,"123,500,000.00","￥-99,047,000.00","123,500,000.00"
20240126,TH0010000930,浙金信托,浙金汇债日日鑫1号债券投资集合资金信托计划,3371,601847,民汇62号,赎回,"950,000.00","￥-987,335.00","950,000.00"
20240926,TH6010001098,万向信托,万向信托-TOF系列35号（日日盈系列5期集合资金信托计划）,3931,999261,汇通7号,赎回,"850,000.00","￥-984,895.00","850,000.00"
20240923,TH0000004374,万向信托,万向信托-TOF系列20号（周周盈系列1期集合资金信托计划）,474,601847,民汇62号,赎回,"930,000.00","￥-983,103.00","930,000.00"
20240802,TH0010000903,中信保诚,中信保诚人寿保险有限公司-稳健配置投资账户,3270,999214,月月盈理财债券,赎回,"94,127,388.76","￥-98,899,647.37","94,127,388.76"
20240507,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999214,月月盈理财债券,赎回,"94,719,977.14","￥-98,897,128.13","94,719,977.14"
20240223,TH6010001596,兴银理财,兴银理财稳添利日盈增利16号日开固收类理财产品,4953,603185,兴银惠享1号,赎回,"98,000,000.00","￥-98,891,815.68","98,000,000.00"
20240112,TH6010001616,兴银理财,兴银理财稳添利陆盈1号(6个月最短持有期)日开固收类理财产品,4973,603185,兴银惠享1号,赎回,"98,000,000.00","￥-98,561,097.04","98,000,000.00"
20240313,TH6010013821,浦银理财,浦银理财悦盈利之6个月定开型Z款理财产品,5345,603359,浦银惠享5号,赎回,"97,823,916.95","￥-98,322,818.93","97,823,916.95"
20240820,TH6010021864,华泰人寿,华泰如意宝22号集合资产管理计划,5903,601847,民汇62号,赎回,"92,940,278.57","￥-98,051,993.89","92,940,278.57"
20240522,TH6010001098,万向信托,万向信托-TOF系列35号（日日盈系列5期集合资金信托计划）,3931,999261,汇通7号,赎回,"850,000.00","￥-976,310.00","850,000.00"
20240507,TH0000004363,万向信托,万向信托-TOF系列19号（周周盈系列1期集合资金信托计划）,473,999220,民汇20号,赎回,"810,000.00","￥-974,106.00","810,000.00"
20240726,TH0000000145,民生人寿,民生人寿保险股份有限公司-分红固收,14,601851,日添利货币,赎回,"974,045.10","￥-974,045.10","974,045.10"
20240820,TH0010000878,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活9号集合资产管理计划,3091,601847,民汇62号,赎回,"922,000.00","￥-972,710.00","922,000.00"
20240919,TH0000000145,民生人寿,民生人寿保险股份有限公司-分红固收,14,601847,民汇62号,赎回,"920,000,000.00","￥-972,440,000.00","920,000,000.00"
20240606,TH6010013984,上银理财,上银理财“净享利”系列开放式理财产品(1年)WPJK18M1220期,5522,999220,民汇20号,赎回,"80,879,722.73","￥-97,460,065.89","80,879,722.73"
20240724,TH6010022055,浦银理财,浦银理财周周鑫臻享款（公司专属）1号理财产品,6110,603359,浦银惠享5号,赎回,"96,000,000.00","￥-97,459,200.00","96,000,000.00"
20240827,TH6010021973,兴银理财,兴银理财稳添利双月盈10号（2个月最短持有期）日开固收类理财产品,5983,603185,兴银惠享1号,赎回,"95,000,000.00","￥-97,232,024.05","95,000,000.00"
20240227,TH0000004644,恒大人寿,恒大人寿保险有限公司-民安增益,501,999237,周周盈,赎回,"81,153,075.46","￥-97,107,770.10","81,153,075.46"
20240903,TH6010013892,华泰人寿,华泰如意宝27号集合资产管理计划,5436,999261,汇通7号,赎回,"83,924,660.53","￥-97,092,439.77","83,924,660.53"
20240903,TH6010013892,华泰人寿,华泰如意宝27号集合资产管理计划,5436,601847,民汇62号,赎回,"91,912,117.43","￥-97,050,004.79","91,912,117.43"
20240909,TH0010000741,合众康养,合众康养（武汉）企业管理有限公司,2594,999220,民汇20号,赎回,"800,000.00","￥-969,840.00","800,000.00"
20240827,TH0010000820,万向信托,万向信托-TOF系列35号（日日盈系列4期集合资金信托计划）,2842,999220,民汇20号,赎回,"800,000.00","￥-969,200.00","800,000.00"
20240201,TH0000004352,万向信托,万向信托-TOF系列18号（周周盈系列1期集合资金信托计划）,472,999261,汇通7号,赎回,"850,000.00","￥-968,065.00","850,000.00"
20240710,TH0000004093,国宝人寿,国宝人寿保险股份有限公司,446,601855,日日盈货币,赎回,966.52,￥-966.52,966.52
20240618,TH0010000855,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活5号集合资产管理计划,2971,999220,民汇20号,赎回,"800,000.00","￥-964,560.00","800,000.00"
20240509,TH0010000834,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活3号集合资产管理计划,2910,999237,周周盈,赎回,"800,000.00","￥-962,240.00","800,000.00"
20240416,TH0010000842,万向信托,万向信托-TOF系列16号（周周盈系列2期集合资金信托计划）,2918,999237,周周盈,赎回,"800,000.00","￥-960,880.00","800,000.00"
20240521,TH6010014043,兴银理财,兴银理财稳利优享C款第15期封闭式固收类理财产品,5596,603185,兴银惠享1号,赎回,"95,000,000.00","￥-96,523,107.45","95,000,000.00"
20240924,TH0000004251,国任财产,国任财产保险股份有限公司,462,12,泰山1号,赎回,"120,000,000.00","￥-96,480,000.00","120,000,000.00"
20240910,TH6010001248,国民信托,国民信托有限公司,4410,601847,民汇62号,赎回,"91,229,236.54","￥-96,365,442.56","91,229,236.54"
20240424,TH6010001520,上银理财,上银理财“天天利”系列开放式理财产品WPTK23D0107期,4852,999237,周周盈,赎回,"80,000,000.00","￥-96,136,000.00","80,000,000.00"
20240424,TH6010001434,上银理财,上银理财“天天利”系列开放式理财产品WPTK23D05期,4709,999220,民汇20号,赎回,"80,000,000.00","￥-96,136,000.00","80,000,000.00"
20240403,TH6010014021,上银理财,上银理财“核心优选”系列开放式理财产品（26个月）WPYK21M2601期,5559,999220,民汇20号,赎回,"80,083,286.01","￥-96,083,926.55","80,083,286.01"
20240809,TH0010000869,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活7号集合资产管理计划,3034,999261,汇通7号,赎回,"830,000.00","￥-958,733.00","830,000.00"
20240805,TH0010000900,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活10号集合资产管理计划,3233,999261,汇通7号,赎回,"830,000.00","￥-958,401.00","830,000.00"
20240611,TH0010000164,杭工信,杭工信-周添利5号集合资金信托计划,1629,999220,民汇20号,赎回,"794,497.82","￥-957,528.77","794,497.82"
20240206,TH0010000820,万向信托,万向信托-TOF系列35号（日日盈系列4期集合资金信托计划）,2842,999220,民汇20号,赎回,"800,000.00","￥-955,920.00","800,000.00"
20240814,TH6010021986,长城证券,长城证券乐活1号集合资产管理计划,6002,999220,民汇20号,赎回,"789,669.42","￥-955,815.87","789,669.42"
20240806,TH0010000842,万向信托,万向信托-TOF系列16号（周周盈系列2期集合资金信托计划）,2918,999220,民汇20号,赎回,"790,000.00","￥-955,742.00","790,000.00"
20240119,TH0010000845,万向信托,万向信托-TOF系列19号（周周盈系列2期集合资金信托计划）,2921,999220,民汇20号,赎回,"800,000.00","￥-954,720.00","800,000.00"
20240116,TH6010000994,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活13号集合资产管理计划,3711,999220,民汇20号,赎回,"800,000.00","￥-954,480.00","800,000.00"
20240913,TH0010000869,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活7号集合资产管理计划,3034,601847,民汇62号,赎回,"900,000.00","￥-950,940.00","900,000.00"
20240815,TH6010001787,创金合信,创金合信添添金1号集合资产管理计划,5179,601847,民汇62号,赎回,"901,158.12","￥-950,451.47","901,158.12"
20240903,TH0010000820,万向信托,万向信托-TOF系列35号（日日盈系列4期集合资金信托计划）,2842,601847,民汇62号,赎回,"900,000.00","￥-950,310.00","900,000.00"
20240624,TH0000000145,民生人寿,民生人寿保险股份有限公司-分红固收,14,999215,聚鑫10号,赎回,"89,527,027.03","￥-95,972,972.98","89,527,027.03"
20240308,TH0010000681,爱建信托,爱建信托-现金汇裕（定开型）集合资金信托计划,2493,999220,民汇20号,赎回,"80,000,000.00","￥-95,808,000.00","80,000,000.00"
20240206,TH6010001600,兴银理财,兴银理财金雪球稳添利季盈(3个月最短持有期)1号日开固收类理财产品,4957,603185,兴银惠享1号,赎回,"95,000,000.00","￥-95,734,796.50","95,000,000.00"
20240221,TH6010009812,横琴人寿,横琴人寿-传统自营兴业,5218,999220,民汇20号,赎回,"80,000,000.00","￥-95,704,000.00","80,000,000.00"
20240206,TH6010009826,浦银理财,浦银理财悦盈利之6个月定开型P款理财产品,5235,603359,浦银惠享5号,赎回,"95,000,000.00","￥-95,199,500.00","95,000,000.00"
20240717,TH0010000459,招商信诺,招商信诺人寿保险有限公司-分红,2141,999214,月月盈理财债券,赎回,"90,527,920.72","￥-95,000,000.00","90,527,920.72"
20240802,TH6010000994,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活13号集合资产管理计划,3711,601847,民汇62号,赎回,"900,000.00","￥-948,510.00","900,000.00"
20240618,TH6010001002,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活15号集合资产管理计划,3755,601847,民汇62号,赎回,"900,000.00","￥-945,450.00","900,000.00"
20240528,TH0010000820,万向信托,万向信托-TOF系列35号（日日盈系列4期集合资金信托计划）,2842,601847,民汇62号,赎回,"900,000.00","￥-944,100.00","900,000.00"
20240529,TH0010000820,万向信托,万向信托-TOF系列35号（日日盈系列4期集合资金信托计划）,2842,601847,民汇62号,赎回,"900,000.00","￥-944,100.00","900,000.00"
20240618,TH0000006466,北京人寿,北京人寿万能型保险7号,691,999214,月月盈理财债券,赎回,"90,474,078.93","￥-94,744,455.46","90,474,078.93"
20240812,TH0010000208,瑞泰人寿,瑞泰人寿保险有限公司（自有资金）,1707,999214,月月盈理财债券,赎回,"90,000,000.00","￥-94,608,000.00","90,000,000.00"
20240424,TH0000000268,浙商财产,浙商财产保险股份有限公司,33,999214,月月盈理财债券,赎回,"90,432,582.88","￥-94,339,270.46","90,432,582.88"
20240625,TH0010000208,瑞泰人寿,瑞泰人寿保险有限公司（自有资金）,1707,999214,月月盈理财债券,赎回,"90,000,000.00","￥-94,293,000.00","90,000,000.00"
20240424,TH6010013964,上银理财,上银理财“鑫享利”系列开放式(3个月)理财产品WPXK23M0302期,5511,999237,周周盈,赎回,"78,320,425.31","￥-94,117,655.10","78,320,425.31"
20240509,TH0010000448,中信保诚,中信保诚人寿保险有限公司-万能账户,2106,999214,月月盈理财债券,赎回,"90,000,000.00","￥-93,987,000.00","90,000,000.00"
20240410,TH0010000845,万向信托,万向信托-TOF系列19号（周周盈系列2期集合资金信托计划）,2921,999220,民汇20号,赎回,"770,000.00","￥-924,385.00","770,000.00"
20240725,TH0010000900,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活10号集合资产管理计划,3233,999261,汇通7号,赎回,"800,000.00","￥-923,200.00","800,000.00"
20240620,TH0010000382,万向信托,万向信托-TOF系列35号（日日盈系列3期集合资金信托计划）,2024,999261,汇通7号,赎回,"800,000.00","￥-920,800.00","800,000.00"
20240619,TH0010000849,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活4号集合资产管理计划,2950,999261,汇通7号,赎回,"800,000.00","￥-920,720.00","800,000.00"
20240614,TH0010000900,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活10号集合资产管理计划,3233,999261,汇通7号,赎回,"800,000.00","￥-920,400.00","800,000.00"
20240403,TH0000004217,弘康人寿,弘康人寿-分红险-邮储,458,600957,量化选股4号,赎回,"1,000,000.00","￥-920,300.00","1,000,000.00"
20240612,TH6010001685,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活14号集合资产管理计划,5059,999261,汇通7号,赎回,"800,000.00","￥-920,240.00","800,000.00"
20240905,TH6010021957,浦银理财,浦银理财季季鑫封闭式139号理财产品,5967,603077,浦银惠享3号,赎回,"90,513,173.42","￥-92,739,797.49","90,513,173.42"
20240626,TH6010001438,民生通惠,民生通惠聚鑫3号资产管理产品,4731,601851,日添利货币,赎回,"92,615,212.16","￥-92,619,862.00","92,615,212.16"
20240222,TH0000003867,合众人寿,合众人寿保险股份有限公司-传统账户,422,999220,民汇20号,赎回,"77,139,992.86","￥-92,282,573.46","77,139,992.86"
20240530,TH6010013880,浦银理财,浦银理财季季鑫封闭式108号理财产品,5424,603077,浦银惠享3号,赎回,"90,510,153.54","￥-92,066,928.18","90,510,153.54"
20240202,TH0010000161,杭工信,杭工信-周添利2号集合资金信托计划,1623,999220,民汇20号,赎回,"770,000.00","￥-919,842.00","770,000.00"
20240523,TH0000004352,万向信托,万向信托-TOF系列18号（周周盈系列1期集合资金信托计划）,472,999261,汇通7号,赎回,"800,000.00","￥-918,960.00","800,000.00"
20240515,TH0010000900,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活10号集合资产管理计划,3233,999261,汇通7号,赎回,"800,000.00","￥-918,480.00","800,000.00"
20240223,TH0010000849,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活4号集合资产管理计划,2950,601847,民汇62号,赎回,"880,000.00","￥-916,696.00","880,000.00"
20240717,TH0010000930,浙金信托,浙金汇债日日鑫1号债券投资集合资金信托计划,3371,601847,民汇62号,赎回,"870,000.00","￥-915,849.00","870,000.00"
20240408,TH6010000994,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活13号集合资产管理计划,3711,999261,汇通7号,赎回,"800,000.00","￥-915,680.00","800,000.00"
20240327,TH0010000864,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活6号集合资产管理计划,3012,999261,汇通7号,赎回,"800,000.00","￥-915,120.00","800,000.00"
20240328,TH0010000864,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活6号集合资产管理计划,3012,999261,汇通7号,赎回,"800,000.00","￥-915,120.00","800,000.00"
20240307,TH6010000994,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活13号集合资产管理计划,3711,999261,汇通7号,赎回,"800,000.00","￥-913,680.00","800,000.00"
20240221,TH0010000759,杭工信,杭工信-民惠周开型4号集合资金信托计划,2630,600629,民汇48号,赎回,"830,000.00","￥-913,581.00","830,000.00"
20240119,TH0010000864,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活6号集合资产管理计划,3012,999261,汇通7号,赎回,"800,000.00","￥-910,160.00","800,000.00"
20240605,TH0000004756,英大泰和,英大泰和人寿保险股份有限公司,514,601855,日日盈货币,赎回,"91,899,662.32","￥-91,904,622.11","91,899,662.32"
20240103,TH6010001333,国华人寿,国华人寿保险股份有限公司万能型保险产品二号,4539,601855,日日盈货币,赎回,"91,892.85","￥-91,892.85","91,892.85"
20240626,TH6010009828,浦银理财,浦银理财九月鑫最短持有期理财产品,5237,603077,浦银惠享3号,赎回,"90,000,000.00","￥-91,737,000.00","90,000,000.00"
20240321,TH6010001474,浦银理财,浦银理财季季鑫（手机银行专属）3号理财产品,4785,601847,民汇62号,赎回,"87,374,903.77","￥-91,210,662.05","87,374,903.77"
20240708,TH6010019864,浦银理财,浦银理财企安鑫公司专属理财产品2408期,5796,603077,浦银惠享3号,赎回,"89,276,954.77","￥-91,071,421.56","89,276,954.77"
20240223,TH0000004363,万向信托,万向信托-TOF系列19号（周周盈系列1期集合资金信托计划）,473,999220,民汇20号,赎回,"760,000.00","￥-909,264.00","760,000.00"
20240105,TH0010000876,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活8号集合资产管理计划,3071,999261,汇通7号,赎回,"800,000.00","￥-909,120.00","800,000.00"
20240517,TH0010000759,杭工信,杭工信-民惠周开型4号集合资金信托计划,2630,600629,民汇48号,赎回,"820,000.00","￥-908,232.00","820,000.00"
20240202,TH0010000105,杭工信,杭工信-周添利1号集合资金信托计划,766,999220,民汇20号,赎回,"760,000.00","￥-907,896.00","760,000.00"
20240613,TH0010000830,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活1号集合资产管理计划,2892,999237,周周盈,赎回,"750,000.00","￥-904,200.00","750,000.00"
20240530,TH0010000855,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活5号集合资产管理计划,2971,999220,民汇20号,赎回,"750,000.00","￥-903,300.00","750,000.00"
20240925,TH6010001122,光大资管,上海光大证券资产管理有限公司代光证资管汇福双周享2号集合资产管理计划,4051,999220,民汇20号,赎回,"742,451.74","￥-901,113.68","742,451.74"
20240116,TH6010001223,东海证券,东海证券海汇添益FOF1号集合资产管理计划,4310,999261,汇通7号,赎回,"792,000.00","￥-900,820.80","792,000.00"
20240124,TH6010001538,浦银理财,浦银理财季季鑫封闭式33号理财产品,4893,601847,民汇62号,赎回,"87,293,889.43","￥-90,715,809.90","87,293,889.43"
20240424,TH0000000864,交银人寿,交银人寿保险有限公司-传统,93,999220,民汇20号,赎回,"75,421,101.15","￥-90,633,537.25","75,421,101.15"
20240709,TH6010019831,兴银理财,兴银理财稳添利月盈5号（1个月最短持有期）日开固收类理财产品,5775,603185,兴银惠享1号,赎回,"88,742,841.40","￥-90,500,207.01","88,742,841.40"
20240425,TH6010013964,上银理财,上银理财“鑫享利”系列开放式(3个月)理财产品WPXK23M0302期,5511,999237,周周盈,赎回,"75,118,938.32","￥-90,270,428.18","75,118,938.32"
20240930,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999220,民汇20号,赎回,"74,330,370.75","￥-90,229,637.05","74,330,370.75"
20240206,TH6010013820,浦银理财,浦银理财利多多鑫盈利封闭式定制第1期,5344,603359,浦银惠享5号,赎回,"90,000,000.00","￥-90,189,000.00","90,000,000.00"
20240131,TH6010001468,浦银理财,浦银理财双周鑫最短持有期理财产品,4779,601847,民汇62号,赎回,"86,663,521.21","￥-90,112,729.35","86,663,521.21"
20240311,TH0010000811,中信保诚,中信保诚人寿保险有限公司-盛世优选投资账户,2833,601855,日日盈货币,赎回,"90,000,000.00","￥-90,018,669.25","90,000,000.00"
20240206,TH6010001466,浦银理财,浦银理财周周鑫稳健款最短持有期理财产品,4777,603077,浦银惠享3号,赎回,"89,268,002.38","￥-90,000,000.00","89,268,002.38"
20240613,TH0010000146,宁银理财,宁银理财宁欣固定收益类1个月定期开放式理财12号,1581,999262,民汇32号,赎回,"78,506,629.45","￥-90,000,000.00","78,506,629.45"
20240326,TH0010000432,中原农业,中原农业保险股份有限公司资本金交行托管专户,2042,999220,民汇20号,赎回,"8,339,588.00","￥-9,999,999.97","8,339,588.00"
20240625,TH0010000164,杭工信,杭工信-周添利5号集合资金信托计划,1629,999220,民汇20号,赎回,"8,290,000.00","￥-9,999,398.00","8,290,000.00"
20240516,TH6010014052,浦银理财,浦银理财季季鑫封闭式101号理财产品,5605,603077,浦银惠享3号,赎回,"9,840,582.56","￥-9,999,015.94","9,840,582.56"
20240124,TH0000002440,民生通惠,民生通惠精选策略FOF1号资产管理产品,258,999219,进取3号,赎回,"8,000,000.00","￥-9,997,600.00","8,000,000.00"
20240919,TH0000000763,建信人寿,建信人寿保险股份有限公司分红保险产品,83,999206,惠鑫32号,赎回,"10,000,000.00","￥-9,996,000.00","10,000,000.00"
20240117,TH0000004879,建信保险,建信保险资产管理有限公司,526,999214,月月盈理财债券,赎回,"9,650,000.00","￥-9,987,750.00","9,650,000.00"
20240620,TH0010000820,万向信托,万向信托-TOF系列35号（日日盈系列4期集合资金信托计划）,2842,601847,民汇62号,赎回,"9,500,000.00","￥-9,981,650.00","9,500,000.00"
20240424,TH6010001123,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享1号集合资产管理计划,4052,600629,民汇48号,赎回,"9,021,814.78","￥-9,979,931.51","9,021,814.78"
20240126,TH0010000981,安盟财产,安盟财产保险有限公司,3631,601847,民汇62号,赎回,"9,600,000.00","￥-9,977,280.00","9,600,000.00"
20240607,TH0000005870,国富人寿,国富人寿保险股份有限公司,631,999214,月月盈理财债券,赎回,"9,500,000.00","￥-9,940,800.00","9,500,000.00"
20240604,TH0000004419,北京人寿,北京人寿-健康保障-兴业银行,478,999214,月月盈理财债券,赎回,"9,500,000.00","￥-9,938,900.00","9,500,000.00"
20240528,TH0000004879,建信保险,建信保险资产管理有限公司,526,999214,月月盈理财债券,赎回,"9,500,000.00","￥-9,934,150.00","9,500,000.00"
20240110,TH0010000161,杭工信,杭工信-周添利2号集合资金信托计划,1623,999220,民汇20号,赎回,"8,300,000.00","￥-9,898,580.00","8,300,000.00"
20240328,TH6010001197,季华装备,广东省季华新型显示装备有限公司,4198,999237,周周盈,赎回,"8,250,000.00","￥-9,894,225.00","8,250,000.00"
20240208,TH0000000965,永诚财产,永诚财产保险股份有限公司,103,999214,月月盈理财债券,赎回,"9,500,000.00","￥-9,849,600.00","9,500,000.00"
20240724,TH6010013802,申万宏源,申万宏源湘甄3号集合资产管理计划,5316,601847,民汇62号,赎回,"9,235,721.81","￥-9,727,062.21","9,235,721.81"
